Dan,TRAIL_BLAZERS,UNDER,NUGGETS,OVER,SPURS,UNDER,BULLS,UNDER
Mark,HEAT,UNDER,LAKERS,UNDER,SEVENTY_SIXERS,UNDER,HORNETS,UNDER
Landon,BUCKS,OVER,HAWKS,UNDER,CAVALIERS,OVER,WIZARDS,OVER
Stu,RAPTORS,OVER,THUNDER,OVER,KINGS,UNDER,SUNS,UNDER
Jim,JAZZ,OVER,CAVALIERS,UNDER,ROCKETS,UNDER,WARRIORS,OVER
Brennan,PACERS,UNDER,MAVERICKS,UNDER,PELICANS,OVER,HEAT,OVER
Amanpal,SPURS,OVER,WARRIORS,UNDER,MAGIC,UNDER,TIMBERWOLVES,OVER
Justin,CELTICS,OVER,GRIZZLIES,OVER,KNICKS,OVER,PISTONS,UNDER
